Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-20,-34,-5,-43,-14,-5,-95,-65,-22,-21,-6,-2,-8,39
1881,-11,-20,-2,-32,0,-5,-64,-51,-14,-2,2,-6,-2,37
1882,-9,-18,-1,-25,-8,5,-133,-29,-3,-8,-8,4,8,42
1883,-20,-31,-8,-38,-20,-1,-32,-66,-20,-21,-19,-1,0,37
1884,-27,-42,-12,-58,-16,-11,-131,-64,-41,-17,-14,-14,-5,41
1885,-31,-41,-21,-62,-16,-19,-118,-74,-42,-9,-23,-26,-7,38
1886,-30,-39,-21,-50,-23,-19,-123,-48,-37,-22,-24,-17,-21,28
1887,-32,-36,-28,-47,-26,-26,-157,-57,-20,-21,-32,-23,-29,21
1888,-19,-22,-17,-43,8,-32,-144,-47,-22,10,7,-29,-38,16
1889,-11,-16,-6,-27,5,-16,-88,-19,-20,0,10,-15,-17,19
1890,-36,-40,-32,-46,-38,-25,-133,-46,-28,-32,-44,-15,-40,4
1891,-24,-24,-24,-36,-15,-23,-128,-23,-26,-6,-25,-19,-27,9
1892,-26,-31,-21,-31,-30,-15,-127,-34,-11,-30,-29,-3,-33,5
1893,-29,-39,-19,-38,-39,-6,-83,-38,-29,-41,-37,4,-21,2
1894,-30,-37,-23,-27,-38,-22,-129,-19,-8,-51,-24,-15,-31,-12
1895,-21,-27,-14,-34,-13,-18,-92,-38,-17,-17,-9,-20,-13,-1
1896,-14,-20,-8,-34,3,-17,-122,-36,-11,0,7,-15,-21,3
1897,-11,-12,-9,-30,16,-27,-74,-32,-17,15,17,-20,-37,5
1898,-28,-28,-29,-28,-29,-28,-123,-3,-19,-28,-30,-26,-30,8
1899,-16,-17,-15,-18,-14,-17,-102,4,-11,-16,-12,-13,-22,13
1900,-9,-4,-14,-13,14,-34,-59,-5,-6,10,17,-31,-38,12
1901,-14,-8,-21,-11,-6,-29,-52,-2,-7,-4,-8,-30,-26,1
1902,-28,-32,-24,-50,-7,-33,-153,-42,-29,-4,-10,-27,-42,6
1903,-36,-36,-36,-42,-33,-33,-45,-31,-48,-26,-39,-37,-25,-42
1904,-44,-46,-43,-47,-47,-38,-30,-54,-47,-44,-50,-36,-38,-106
1905,-28,-28,-27,-37,-14,-37,-17,-16,-55,-14,-13,-38,-34,-18
1906,-22,-21,-24,-20,-23,-24,-31,2,-31,-22,-23,-24,-22,-46
1907,-40,-47,-32,-57,-36,-29,-74,-70,-44,-33,-38,-25,-30,-99
1908,-43,-46,-40,-46,-49,-33,-43,-51,-44,-47,-52,-31,-38,85
1909,-47,-48,-47,-47,-53,-40,-77,-50,-38,-49,-57,-39,-41,-30
1910,-43,-44,-42,-36,-55,-32,-70,-15,-42,-54,-56,-33,-32,46
1911,-45,-42,-48,-38,-48,-47,-34,-37,-41,-46,-49,-43,-53,33
