Orig,New
 Argentina,Argentina
 Brazil,Brazil
 China,China
 Ethiopia ,Ethiopia
 Fiji,Fiji
 India,India
 India ,India
 Iran,Iran
 Italy,Italy
 Mexico,Mexico
 Nepal,Nepal
 Philippines,Philippines
 Spain ,Spain
 Sri Lanka ,Sri Lanka
 Thailand ,Thailand
 Turkey ,Turkey
 Peru,Peru
 Tajikistan,Tajikistan
Afghanistan,Afghanistan
Afghanistan ,Afghanistan
Africa,Africa
Alaska,Alaska
Alaska ,Alaska
Albania,Albania
Algeria,Algeria
Algeria ,Algeria
American Samoa,American Samoa
Angola,Angola
Angola ,Angola
Antigua,Antigua
Argentina,Argentina
Argentina ,Argentina
Armenia,Armenia
Australia,Australia
Australia ,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Azores Islands ,Azores Islands 
Bahamas,Bahamas
Bangaldesh,Bangladesh
Bangladesh,Bangladesh
Bangladesh ,Bangladesh
Bangledesh,Bangladesh
Belarus,Belarus
Belarus ,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Boliva,Bolivia
Bolivia,Bolivia
Bolivia ,Bolivia
Bosnia,Bosnia
Bosnia and Herzegovina,Bosnia
Bosnia and Herzogovina,Bosnia
Bosnia-Hercegovenia,Bosnia
Bosnia-Herzegovina,Bosnia
Botswana,Botswana
Brazil,Brazil
Brazil ,Brazil
Brazil  ,Brazil
Britain,UK
"Britain, Ireland",UK
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burkino Faso,Burkina Faso
Burma,Burma
Burma/Myanmar,Burma
Burundi,Burundi
Camaroun,Cameroon
Cambodia,Cambodia
Cambodia ,Cambodia
Cameroon,Cameroon
Cameroon ,Cameroon
Canada,Canada
Canada and USA,Canada
Canada ,Canada
Canary Islands,Canary Islands
Caribbean,Caribbean
Central African Republic,Central African Republic
Chad,Chad
Chad ,Chad
Chile,Chile
Chile ,Chile
China,China
China  ,China
China ,China
Colombia,Colombia
Colombia ,Colombia
Columbia,Colombia
Columbia ,Colombia
Comoros Islands,Comoros Islands
Congo,Congo
Congo Republic,Congo
Costa Rica,Costa Rica
Cote d'Ivoire,Cote d'Ivoire
Croatia,Croatia
Cuba,Cuba
Cuba ,Cuba
Czech Republic,Czech Republic
Czechoslovakia,Czech Republic
Czechoslovakia ,Czech Republic
Democratic Republic Congo ,Democratic Republic Congo 
Democratic Republic of Congo,Democratic Republic Congo 
Democratic Republic of the Congo,Democratic Republic Congo 
Djibouti,Djibouti
Dominican Republic,Dominican Republic
Dominican Republic ,Dominican Republic
Domnican Republic,Dominican Republic
DR Congo,Democratic Republic Congo 
DR Congo ,Democratic Republic Congo 
East Timor,East Timor
East Timor ,East Timor
Ecuador,Ecuador
Ecuador  ,Ecuador
Ecuador ,Ecuador
Egypt,Egypt
El Salvador,El Salvador
El Salvador ,El Salvador
El Savador,El Salvador
England,UK
Estonia,Estonia
Ethiopia,Ethiopia
Ethiopia ,Ethiopia
Europe,Europe
Fiji,Fiji
Finland,Finland
France,France
France ,France
French Polynesia,French Polynesia
Gabon ,Gabon 
Gaza,Gaza
Georgia,Georgia
Germany,Germany
Ghana,Ghana
Ghana ,Ghana
Greece,Greece
Guam,Guam
Guatamala,Guatamala
Guatemala,Guatamala
Guatemala ,Guatamala
Guinea,Guinea
Guyana,Guyana
Haiti,Haiti
Haiti ,Haiti
Honduras,Honduras
Honduras ,Honduras
Hungary,Hungary
Iceland,Iceland
Inda,India
India,India
India ,India
Indonesia,Indonesia
Indonesia  ,Indonesia
Indonesia ,Indonesia
Indonesia  ,Indonesia
Iran,Iran
Iran ,Iran
Iraq,Iraq
Ireland,UK
